file,rank,#features,accuracy,precision,recall,f1
madelon.csv,random_forest,20,0.8892307692307693,0.8899638769208786,0.8892307692307693,0.8891763649526114
madelon.csv,gini,20,0.8819230769230769,0.8824384925456956,0.8819230769230769,0.8818836624352862
madelon.csv,info_gain,20,0.8865384615384615,0.8873049635283443,0.8865384615384615,0.8864800977794353
madelon.csv,chi2,20,0.8688461538461538,0.8691407295541846,0.8688461538461538,0.8688212975178173
madelon.csv,slope_rank_minmax,20,0.8746153846153847,0.8748748891824711,0.8746153846153847,0.874594101237923
madelon.csv,slope_rank_minmax inter. random_forest,16,0.885,0.8852945776550578,0.885,0.8849780791453172
madelon.csv,slope_rank_minmax inter. gini,13,0.8765384615384615,0.8768307592759126,0.8765384615384615,0.8765144542853355
madelon.csv,slope_rank_minmax inter. info_gain,11,0.8823076923076923,0.8828227847164047,0.8823076923076923,0.882273325584223
madelon.csv,slope_rank_minmax inter. chi2,16,0.8715384615384616,0.871969532392395,0.8715384615384616,0.8715023869586582
sceneCsvBeach.csv,random_forest,20,0.8300708852005533,0.8273531265565689,0.8300708852005533,0.8129876207994737
sceneCsvBeach.csv,gini,20,0.845036307053942,0.8428475550266985,0.845036307053942,0.8293045509614105
sceneCsvBeach.csv,info_gain,20,0.8333852005532503,0.8307507378460606,0.8333852005532503,0.8139776071961938
sceneCsvBeach.csv,chi2,20,0.7843706777316736,0.7714668850930537,0.7843706777316736,0.7539488437625277
sceneCsvBeach.csv,slope_rank_minmax,20,0.8155290456431535,0.8056738125471308,0.8155290456431535,0.7950353380173807
sceneCsvBeach.csv,slope_rank_minmax inter. random_forest,12,0.8088727524204703,0.7999931467961792,0.8088727524204703,0.7899591721383687
sceneCsvBeach.csv,slope_rank_minmax inter. gini,6,0.7997579529737207,0.7801351780219654,0.7997579529737207,0.7774607534233794
sceneCsvBeach.csv,slope_rank_minmax inter. info_gain,5,0.783131051175657,0.7637937011875606,0.783131051175657,0.7622572211156494
sceneCsvBeach.csv,slope_rank_minmax inter. chi2,5,0.7706656293222683,0.7582027386704336,0.7706656293222683,0.7459675376850567
semeion.csv,random_forest,20,0.7243907232704403,0.7294998649064813,0.7243907232704403,0.7230112233627131
semeion.csv,gini,20,0.8097798742138365,0.8160699017998965,0.8097798742138365,0.8081302940201587
semeion.csv,info_gain,20,0.8198545597484277,0.8272275645229836,0.8198545597484277,0.8195506858617774
semeion.csv,chi2,20,0.5938050314465408,0.6274946069248224,0.5938050314465408,0.5923826207950826
semeion.csv,slope_rank_minmax,20,0.5724842767295597,0.581344083090582,0.5724842767295597,0.5640085867405854
semeion.csv,slope_rank_minmax inter. random_forest,7,0.4708333333333333,0.4818106687327729,0.4708333333333333,0.4227054355707329
semeion.csv,slope_rank_minmax inter. gini,4,0.40990959119496856,0.311247900063235,0.40990959119496856,0.31393606273586505
semeion.csv,slope_rank_minmax inter. info_gain,3,0.400495283018868,0.29794227976577137,0.400495283018868,0.3078115961418029
semeion.csv,slope_rank_minmax inter. chi2,14,0.4802279874213837,0.5156335833985412,0.4802279874213837,0.4622244296983033
sonar.csv,random_forest,20,0.7357142857142857,0.7823712057922585,0.7357142857142857,0.7190956567269495
sonar.csv,gini,20,0.7357142857142858,0.7636629960126201,0.7357142857142858,0.7230835906433395
sonar.csv,info_gain,20,0.7454761904761905,0.761184645186746,0.7454761904761905,0.7367032333216207
sonar.csv,chi2,20,0.7311904761904761,0.7641043866325822,0.7311904761904761,0.7153524122238619
sonar.csv,slope_rank_minmax,20,0.7404761904761905,0.7783740389379488,0.7404761904761905,0.7254440937702311
sonar.csv,slope_rank_minmax inter. random_forest,17,0.7452380952380953,0.7846911081121608,0.7452380952380953,0.7295657176432349
sonar.csv,slope_rank_minmax inter. gini,11,0.7550000000000001,0.7846571021571022,0.7550000000000001,0.7455137298663223
sonar.csv,slope_rank_minmax inter. info_gain,8,0.715952380952381,0.7386443446065296,0.715952380952381,0.6950668274007435
sonar.csv,slope_rank_minmax inter. chi2,16,0.7307142857142856,0.7668451577662104,0.7307142857142856,0.7152430209306505
spam.csv,random_forest,20,0.936097802508724,0.9369086167647502,0.936097802508724,0.9359760766943392
spam.csv,gini,20,0.933492879373762,0.9342788231743768,0.933492879373762,0.9333238480801972
spam.csv,info_gain,20,0.9367504479864188,0.937504724900362,0.9367504479864188,0.9365819233140636
spam.csv,chi2,20,0.9354446854663774,0.936151850038361,0.9354446854663774,0.935344980171289
spam.csv,slope_rank_minmax,20,0.9345765349429408,0.9354262808279123,0.9345765349429408,0.934585409415879
spam.csv,slope_rank_minmax inter. random_forest,13,0.9250150900688483,0.9257729478190979,0.9250150900688483,0.9249253969842208
spam.csv,slope_rank_minmax inter. gini,11,0.9258822974629822,0.9265126892187995,0.9258822974629822,0.9258239776415029
spam.csv,slope_rank_minmax inter. info_gain,11,0.9247967556351975,0.9256374325039809,0.9247967556351975,0.9247415648532877
spam.csv,slope_rank_minmax inter. chi2,14,0.9261011034612844,0.9269486371757528,0.9261011034612844,0.9260744245281132
urbanLandCover.csv,random_forest,20,0.8548507462686568,0.8707402567191856,0.8548507462686568,0.8525940225842232
urbanLandCover.csv,gini,20,0.8800043898156277,0.8912752804214612,0.8800043898156277,0.8774728027683262
urbanLandCover.csv,info_gain,20,0.8637401229148377,0.8768610074931409,0.8637401229148377,0.8615310285662421
urbanLandCover.csv,chi2,20,0.7466417910447761,0.7631860573091916,0.7466417910447761,0.7434488440436253
urbanLandCover.csv,slope_rank_minmax,20,0.8415496049165935,0.8541509374685405,0.8415496049165935,0.8394792092136047
urbanLandCover.csv,slope_rank_minmax inter. random_forest,14,0.828270412642669,0.8365844537985672,0.828270412642669,0.8237732811281792
urbanLandCover.csv,slope_rank_minmax inter. gini,6,0.8091088674275682,0.8216005742440663,0.8091088674275682,0.8051004429671528
urbanLandCover.csv,slope_rank_minmax inter. info_gain,6,0.8032045654082529,0.8120334378576256,0.8032045654082529,0.7972526952911047
urbanLandCover.csv,slope_rank_minmax inter. chi2,9,0.7570017559262512,0.7667710736488174,0.7570017559262512,0.7512118071824442
